date,activity_id,name,type,distance_km,duration_min,pace_min_km,avg_hr,max_hr,calories,elev_gain_m,avg_cadence,aerobic_te,anaerobic_te,training_load,vo2max
2026-09-03,24226898793,Richmond Running,running,8.24,44.8,5.44,155.0,173.0,621.0,7.0,158.0,3.5,0.0,113.0,55.0
2026-09-01,24200906359,Richmond Running,running,10.59,64.9,6.13,140.0,157.0,766.0,15.0,154.0,3.4,0.0,92.0,55.0
2026-08-30,24178295698,Douglas County Hiking,hiking,7.19,102.3,14.23,99.0,130.0,500.0,134.0,101.0,1.0,0.0,10.0,
2026-08-30,24175710960,Humboldt County Hiking,hiking,111.82,124.1,1.11,75.0,126.0,304.0,1265.0,27.0,0.3,0.0,4.0,
2026-08-28,24149925893,Palo Alto Running,running,9.62,63.5,6.61,143.0,177.0,742.0,200.0,147.0,3.4,0.0,92.0,55.0
2026-08-26,24131121574,Santa Clara County Running,running,8.74,61.7,7.06,127.0,165.0,592.0,36.0,132.0,3.2,0.0,76.0,55.0
2026-08-25,24117945411,Santa Clara County Running,running,6.94,50.6,7.28,138.0,172.0,561.0,184.0,139.0,3.0,0.0,63.0,55.0
2026-08-23,24090086704,Cardio,indoor_cardio,,41.2,,157.0,185.0,564.0,,,3.6,3.6,222.0,
2026-08-21,24062456721,Palo Alto Running,running,9.73,66.4,6.82,143.0,175.0,755.0,201.0,143.0,3.4,0.0,94.0,55.0
2026-08-18,24030637487,Santa Clara County Running,running,6.87,49.5,7.2,144.0,177.0,557.0,181.0,130.0,3.2,0.0,81.0,54.0
2026-08-15,24005194824,Douglas County Open Water Swimming,open_water_swimming,0.55,24.7,44.53,141.0,165.0,298.0,,,2.8,1.1,67.0,
2026-08-15,24005194675,El Dorado County Running,running,4.08,24.3,5.95,158.0,177.0,332.0,65.0,159.0,3.1,0.0,69.0,52.0
2026-08-13,24005194484,Sunnyvale Running,running,5.18,32.5,6.28,135.0,152.0,384.0,4.0,155.0,2.6,0.0,47.0,55.0
2026-08-03,24005194229,Running,running,3.2,134.4,42.04,75.0,114.0,349.0,32.0,33.0,0.2,0.0,3.0,
2026-07-31,24005192358,Treadmill Running,treadmill_running,5.48,65.5,11.95,129.0,174.0,570.0,,111.0,2.8,1.2,66.0,
2026-08-09,23918082955,Sunnyvale Running,running,11.18,69.4,6.21,139.0,166.0,819.0,47.0,159.0,3.3,0.0,86.0,55.0
2026-08-07,23894242565,Santa Clara County Running,running,4.67,41.6,8.9,148.0,189.0,494.0,68.0,105.0,3.4,2.4,131.0,55.0
2026-07-28,23770822696,Santa Clara County Running,running,6.9,48.1,6.97,146.0,171.0,577.0,188.0,138.0,3.1,0.3,81.0,55.0
2026-07-24,23729110227,Sunnyvale Running,running,10.55,55.3,5.25,156.0,168.0,784.0,16.0,161.0,4.1,0.1,147.0,55.0
2026-07-21,23729108885,Santa Clara County Running,running,7.27,41.4,5.69,152.0,184.0,541.0,6.0,151.0,3.6,2.4,151.0,55.0
2026-07-18,23647226676,Sunnyvale - Base,running,0.0,5.5,,72.0,72.0,0.0,0.0,1.0,0.0,0.0,0.0,
2026-07-14,23601767027,Santa Clara County Running,running,6.95,51.5,7.4,145.0,172.0,598.0,177.0,139.0,3.0,0.0,74.0,55.0
2026-07-12,23576937405,Mountain View Running,running,7.54,47.7,6.33,144.0,185.0,558.0,3.0,139.0,3.5,2.6,160.0,55.0
2026-07-10,23553745533,San Jose Running,running,6.56,37.9,5.78,148.0,179.0,485.0,8.0,154.0,3.3,1.4,111.0,55.0
2026-07-07,23517895099,Santa Clara County Running,running,6.92,46.6,6.74,142.0,170.0,553.0,188.0,142.0,3.0,0.0,71.0,55.0
2026-07-05,23494295563,Sunnyvale Running,running,7.45,44.2,5.93,141.0,181.0,543.0,22.0,156.0,3.1,1.3,93.0,55.0
2026-07-02,23454881442,Sunnyvale Running,running,22.04,119.4,5.42,155.0,168.0,1603.0,100.0,161.0,4.9,0.0,226.0,54.0
2026-06-30,23454876775,Santa Clara County Running,running,6.92,48.2,6.96,148.0,178.0,582.0,190.0,135.0,3.2,0.0,88.0,54.0
2026-06-27,23399116787,Palo Alto Running,running,5.96,39.5,6.63,140.0,165.0,475.0,15.0,135.0,3.1,0.0,79.0,54.0
2026-06-24,23369758884,Banff Walking,walking,8.94,98.8,11.05,101.0,152.0,598.0,131.0,114.0,2.0,0.0,26.0,55.0
2026-06-22,23346669306,Alberta Hiking,hiking,11.72,152.6,13.03,129.0,165.0,1164.0,615.0,90.0,3.2,0.3,91.0,
2026-06-21,23335007781,Alberta Hiking,hiking,12.55,183.0,14.58,117.0,156.0,1169.0,757.0,88.0,3.0,0.1,68.0,
2026-06-20,23319832026,Sunnyvale Running,running,12.05,66.4,5.51,161.0,173.0,938.0,41.0,159.0,4.5,0.0,179.0,54.0
2026-06-18,23301169215,Palo Alto Running,running,9.31,55.7,5.99,156.0,183.0,734.0,228.0,153.0,3.8,0.1,129.0,54.0
2026-06-16,23278164062,Sunnyvale Running,running,6.18,36.2,5.86,144.0,160.0,456.0,19.0,154.0,3.1,0.5,74.0,54.0
2026-06-14,23248268275,Sunnyvale Running,running,15.46,93.2,6.03,145.0,168.0,1140.0,37.0,158.0,3.9,0.0,135.0,54.0
2026-06-12,23228661189,Treadmill Running,treadmill_running,4.96,39.5,7.96,142.0,174.0,438.0,,138.0,3.1,0.4,77.0,
2026-06-09,23195256054,Santa Clara County Running,running,9.15,50.3,5.5,153.0,178.0,671.0,17.0,159.0,3.9,0.6,141.0,54.0
2026-06-06,23153957520,San Jose Running,running,10.01,53.6,5.35,164.0,174.0,766.0,27.0,162.0,4.3,0.0,162.0,54.0
2026-05-31,23086500967,Sunnyvale Running,running,12.85,74.0,5.76,151.0,166.0,958.0,33.0,157.0,4.0,0.0,137.0,54.0
2026-05-29,23069189685,Santa Clara County Running,running,10.01,54.6,5.45,161.0,187.0,764.0,17.0,156.0,4.2,2.2,182.0,54.0
2026-05-19,22943813565,Sunnyvale Running,running,8.07,44.2,5.48,154.0,169.0,605.0,17.0,157.0,3.8,0.0,123.0,54.0
2026-05-17,22915282596,Sunnyvale Running,running,12.07,69.1,5.72,155.0,170.0,917.0,23.0,158.0,4.0,0.0,142.0,54.0
2026-05-12,22855161244,Sunnyvale Running,running,8.15,44.8,5.5,157.0,168.0,619.0,10.0,159.0,3.8,0.0,123.0,54.0
2026-05-06,22792524812,Mountain View Running,running,8.31,45.8,5.51,156.0,184.0,619.0,2.0,155.0,3.8,2.2,152.0,54.0
2026-04-30,22720354648,Richmond Running,running,7.01,41.3,5.89,143.0,155.0,520.0,5.0,160.0,3.1,0.0,75.0,54.0
2026-04-28,22692297138,Richmond Running,running,17.06,102.8,6.03,145.0,155.0,1246.0,10.0,161.0,3.9,0.0,134.0,54.0
2026-04-26,22668954983,Richmond Running,running,8.46,55.7,6.59,141.0,156.0,648.0,11.0,151.0,3.2,0.0,77.0,55.0
2026-04-23,22637717659,Richmond Running,running,10.16,57.7,5.68,148.0,156.0,756.0,7.0,161.0,3.5,0.1,105.0,55.0
2026-04-19,22585819376,Vancouver Running,running,10.12,45.1,4.46,178.0,189.0,743.0,54.0,170.0,5.0,2.1,292.0,55.0
2026-04-15,22541333801,Richmond Running,running,8.01,42.2,5.27,156.0,175.0,595.0,13.0,162.0,3.7,0.0,115.0,55.0
2026-04-12,22503388251,Richmond Running,running,7.35,44.0,5.99,144.0,155.0,559.0,4.0,161.0,3.1,0.0,70.0,56.0
2026-04-08,22460884235,Vancouver Running,running,7.01,51.4,7.34,123.0,150.0,532.0,3.0,145.0,2.5,0.0,43.0,56.0
2026-04-06,22433929417,Richmond Cycling,cycling,32.54,100.9,3.1,122.0,150.0,795.0,95.0,,2.4,0.4,43.0,
2026-04-05,22422030337,Pool Swim,lap_swimming,0.62,20.0,32.04,151.0,174.0,290.0,,,3.1,1.7,90.0,
2026-04-03,22397543227,Richmond Running,running,8.07,45.7,5.67,141.0,151.0,587.0,1.0,164.0,3.0,0.0,75.0,56.0
2026-03-30,22355902526,Richmond Running,running,8.19,45.2,5.52,140.0,150.0,590.0,4.0,162.0,3.0,0.0,74.0,57.0
2026-03-29,22355901692,Surrey Open Water Swimming,open_water_swimming,1.16,126.7,108.82,99.0,148.0,713.0,,,2.1,0.3,32.0,
2026-03-28,22333943579,Ice Hockey,ice_hockey,,96.2,,105.0,164.0,601.0,,,1.8,2.5,69.0,
2026-03-27,22322138595,Richmond Running,running,8.19,43.9,5.36,144.0,156.0,596.0,5.0,163.0,3.1,0.0,85.0,57.0
2026-03-25,22301950452,Vancouver Running,running,7.53,51.1,6.78,143.0,185.0,606.0,3.0,117.0,3.4,2.8,171.0,57.0
2026-03-22,22266679323,Richmond Running,running,8.01,38.9,4.85,154.0,166.0,575.0,5.0,170.0,3.6,0.4,126.0,57.0
2026-03-20,22243172766,Richmond Running,running,8.18,46.6,5.7,138.0,155.0,596.0,15.0,165.0,2.6,0.0,54.0,57.0
2026-03-16,22198032070,Richmond Running,running,8.06,41.6,5.16,149.0,167.0,574.0,7.0,166.0,3.6,0.0,120.0,56.0
2026-03-15,22185570150,Richmond Running,running,11.78,64.3,5.46,144.0,172.0,850.0,11.0,167.0,3.4,0.0,105.0,56.0
2026-03-13,22164236341,Vancouver Running,running,8.72,48.5,5.56,140.0,154.0,620.0,53.0,165.0,3.1,0.0,77.0,56.0
2026-03-12,22155945426,Ice Hockey,ice_hockey,,74.2,,115.0,177.0,503.0,,,2.1,2.8,91.0,
2026-03-07,22098777715,Ice Hockey,ice_hockey,,66.0,,121.0,173.0,508.0,,,2.2,2.8,101.0,
2026-03-07,22096629445,Vancouver Multisport,multi_sport,53.62,217.5,4.06,,194.0,2457.0,345.0,,5.0,2.1,348.0,
2026-03-05,22076450754,Vancouver Running,running,5.67,32.0,5.64,139.0,158.0,410.0,33.0,163.0,2.8,0.0,60.0,56.0
2026-03-02,22042187756,Pool Swim,lap_swimming,1.45,40.2,27.74,153.0,182.0,553.0,,,3.3,1.6,118.0,
2026-03-01,22029478663,Richmond Running,running,10.01,52.6,5.26,151.0,164.0,730.0,4.0,166.0,3.6,0.3,121.0,56.0
2026-02-27,22009315944,Ice Hockey,ice_hockey,,74.4,,119.0,173.0,542.0,,,2.4,2.8,96.0,
2026-02-24,21976486881,Vancouver Running,running,10.54,56.5,5.37,145.0,158.0,739.0,21.0,165.0,3.4,0.0,111.0,56.0
2026-02-21,21944449164,Ice Hockey,ice_hockey,,70.2,,120.0,178.0,529.0,,,2.3,3.0,102.0,
2026-02-21,21943504195,Richmond Running,running,7.99,47.5,5.95,137.0,179.0,579.0,13.0,164.0,3.0,0.0,70.0,55.0
2026-02-19,21923592277,Richmond Running,running,10.13,51.3,5.06,156.0,184.0,739.0,2.0,168.0,3.5,0.8,118.0,56.0
2026-02-18,21912246417,Manning Park Resort Ski,resort_skiing,34.74,260.5,7.5,80.0,143.0,809.0,4082.0,,0.4,0.0,5.0,
2026-02-17,21901455741,Manning Park Resort Snowboard,resort_snowboarding,30.16,267.6,8.87,93.0,159.0,1207.0,2695.0,,1.1,2.0,39.0,
2026-02-14,21872081179,Ice Hockey,ice_hockey,,78.9,,115.0,172.0,532.0,,,2.1,2.7,86.0,
2026-02-14,21868054147,Richmond Running,running,5.03,21.1,4.2,172.0,184.0,342.0,6.0,176.0,3.6,0.7,135.0,56.0
2026-02-13,21861461106,Ice Hockey,ice_hockey,,62.7,,108.0,168.0,390.0,,,1.6,2.2,52.0,
2026-02-10,21830301245,Vancouver Running,running,10.37,53.7,5.18,156.0,177.0,760.0,112.0,167.0,3.8,0.1,141.0,56.0
2026-02-09,21820056034,Pool Swim,lap_swimming,1.43,53.0,37.18,129.0,172.0,543.0,,,2.7,2.0,80.0,
2026-02-08,21808405573,Richmond Cycling,cycling,40.02,118.6,2.96,127.0,164.0,943.0,123.0,,2.6,0.5,60.0,
2026-02-06,21789030597,Ice Hockey,ice_hockey,,54.0,,116.0,170.0,395.0,,,2.1,2.7,78.0,
2026-02-04,21764918283,Richmond Running,running,11.76,66.7,5.67,157.0,174.0,906.0,11.0,166.0,3.7,0.2,135.0,56.0
2026-01-30,21716278794,Ice Hockey,ice_hockey,,77.9,,118.0,174.0,539.0,,,2.2,3.2,114.0,
2026-01-27,21686678057,Vancouver Running,running,9.18,49.8,5.43,156.0,190.0,680.0,7.0,143.0,4.0,2.3,188.0,56.0
2026-01-24,21655722513,Richmond Running,running,5.01,21.7,4.32,173.0,190.0,346.0,0.0,174.0,3.6,2.2,154.0,55.0
