date,score,quality,total_h,deep_h,light_h,rem_h,awake_h,resting_hr,avg_hr,avg_hrv,hrv_7d_avg,hrv_status,avg_spo2,avg_respiration,body_battery_change,sleep_need_h,skin_temp_c
2026-09-04,89,GOOD,7.18,2.1,3.18,1.9,0.0,43,49.0,90.0,,NONE,,15.4,78,8.0,
2026-09-03,88,GOOD,7.08,1.62,3.65,1.82,0.0,45,49.0,90.0,,NONE,,15.3,79,8.0,
2026-08-31,97,EXCELLENT,8.37,1.87,4.13,2.38,0.23,45,49.0,94.0,,NONE,,14.8,60,8.0,
2026-08-24,92,EXCELLENT,7.82,2.07,4.07,1.7,0.27,46,51.0,91.0,,NONE,,16.6,74,8.33,
2026-08-17,96,EXCELLENT,7.84,2.27,3.2,2.38,0.0,42,48.0,101.0,,NONE,,15.8,73,8.0,
2026-08-16,72,FAIR,6.93,1.12,5.27,0.55,0.02,45,63.0,72.0,,NONE,,17.8,66,8.0,
2026-08-06,30,POOR,1.7,0.72,0.9,0.08,0.0,55,58.0,,,NONE,,,,8.0,
2026-07-16,89,GOOD,7.37,1.8,3.98,1.6,0.22,47,52.0,85.0,,NONE,,15.0,65,8.0,
2026-07-06,95,EXCELLENT,7.62,1.63,4.02,1.98,0.08,48,54.0,101.0,,NONE,,15.2,79,8.0,
2026-06-19,93,EXCELLENT,7.54,1.45,4.28,1.82,0.08,47,51.0,93.0,,NONE,,15.7,85,8.0,
2026-06-17,97,EXCELLENT,7.93,2.37,3.6,1.97,0.1,48,52.0,92.0,,NONE,,16.1,81,8.0,
2026-06-16,88,GOOD,7.34,1.53,4.33,1.48,0.13,48,52.0,95.0,,NONE,,15.9,79,8.0,
2026-06-05,91,EXCELLENT,7.28,1.75,3.7,1.83,0.08,49,56.0,90.0,89.0,NONE,,16.3,83,8.0,
2026-06-04,82,GOOD,7.07,1.12,4.3,1.67,0.0,55,61.0,83.0,88.0,NONE,,16.0,70,8.0,
2026-06-03,73,FAIR,7.03,1.52,4.83,0.68,0.2,59,64.0,77.0,,NONE,,16.9,50,8.0,
2026-06-02,86,GOOD,7.68,1.35,4.77,1.57,0.02,55,60.0,92.0,,NONE,,16.6,74,8.0,
2026-06-01,86,GOOD,7.71,0.87,3.95,2.9,0.0,50,56.0,105.0,,NONE,,16.6,81,8.0,
2026-03-31,99,EXCELLENT,8.98,2.45,4.43,2.1,0.05,46,50.0,89.0,86.0,NONE,,15.6,83,8.0,
2026-03-30,87,GOOD,7.23,1.05,4.47,1.72,0.03,47,51.0,95.0,86.0,NONE,,15.5,78,8.0,
2026-03-26,87,GOOD,7.42,2.08,4.17,1.18,0.0,49,53.0,79.0,,NONE,,15.5,68,8.0,
2026-03-25,83,GOOD,6.77,1.33,3.75,1.68,0.1,44,51.0,83.0,,NONE,,15.3,63,8.0,
2026-03-24,97,EXCELLENT,9.13,1.72,5.2,2.22,0.17,43,49.0,89.0,,NONE,,15.3,68,8.0,
2026-02-18,78,FAIR,6.74,1.77,4.27,0.72,0.15,51,54.0,84.0,,NONE,,16.1,75,8.0,
2026-02-17,86,GOOD,7.08,2.23,3.45,1.4,0.0,50,54.0,82.0,,NONE,,16.3,66,8.0,
2026-02-02,87,GOOD,7.93,1.38,5.35,1.2,0.15,48,52.0,82.0,84.0,NONE,,16.2,89,9.0,
2026-02-01,64,FAIR,4.95,1.88,2.27,0.8,0.02,50,52.0,78.0,,NONE,,15.8,61,8.0,
2026-01-31,79,FAIR,7.26,1.62,4.57,1.08,0.35,53,57.0,84.0,,NONE,,17.2,66,8.0,
2026-01-28,93,EXCELLENT,7.9,1.77,4.57,1.57,0.0,47,51.0,90.0,,NONE,,15.7,73,8.0,
2026-01-23,91,EXCELLENT,8.73,1.8,4.9,2.03,0.18,48,51.0,80.0,,NONE,,15.8,77,8.0,
2026-01-03,69,FAIR,5.86,1.72,3.67,0.48,0.0,51,53.0,85.0,,NONE,,16.3,68,8.33,
2026-01-01,81,GOOD,6.9,1.25,4.5,1.15,0.0,50,53.0,86.0,,NONE,,16.2,77,8.0,
2025-12-29,77,FAIR,7.76,1.4,5.7,0.67,0.03,52,58.0,82.0,,NONE,,16.3,71,8.33,
2025-12-27,91,EXCELLENT,7.81,1.43,4.78,1.6,0.0,47,51.0,99.0,,NONE,,15.9,76,8.0,
2025-12-03,87,GOOD,7.08,1.57,3.67,1.85,0.03,48,53.0,83.0,,NONE,,16.1,77,8.0,
2025-12-02,83,GOOD,6.83,1.75,3.77,1.32,0.0,46,49.0,83.0,,NONE,,15.8,76,8.0,
2025-12-01,91,EXCELLENT,7.85,1.6,4.58,1.67,0.0,48,53.0,76.0,,NONE,,16.0,84,8.0,
2025-11-19,78,FAIR,6.95,1.75,4.28,0.92,0.18,49,53.0,82.0,,NONE,,16.3,77,8.0,
2025-11-15,93,EXCELLENT,8.37,2.0,4.7,1.67,0.0,48,51.0,91.0,,NONE,,15.7,83,8.0,
2025-11-09,92,EXCELLENT,7.82,2.05,4.22,1.55,0.0,50,56.0,84.0,,NONE,,16.5,74,8.0,
2025-11-03,87,GOOD,8.02,1.67,4.5,1.85,0.23,46,51.0,83.0,,NONE,,16.0,72,7.0,
2025-10-31,80,GOOD,6.6,1.88,3.48,1.23,0.0,48,52.0,80.0,,NONE,,16.0,71,8.0,
2025-10-30,80,GOOD,7.28,2.12,3.97,1.2,0.15,51,55.0,83.0,,NONE,,16.2,73,8.0,
2025-10-24,66,FAIR,6.42,1.63,3.95,0.83,1.05,48,52.0,85.0,87.0,BALANCED,,15.8,70,8.0,
2025-10-22,81,GOOD,7.1,2.08,3.92,1.1,0.17,46,49.0,91.0,87.0,UNBALANCED,,15.7,73,8.0,
2025-10-21,94,EXCELLENT,8.47,1.93,4.8,1.75,0.1,48,52.0,87.0,86.0,UNBALANCED,,16.2,79,8.0,
2025-10-20,93,EXCELLENT,7.77,1.72,4.3,1.75,0.17,46,50.0,90.0,87.0,UNBALANCED,,16.0,73,8.0,
2025-10-19,68,FAIR,8.3,1.57,5.1,1.63,0.75,45,48.0,86.0,88.0,BALANCED,,15.3,73,8.0,
2025-10-18,77,FAIR,7.55,1.6,4.9,1.05,0.47,48,52.0,85.0,89.0,BALANCED,,16.0,72,8.0,
2025-10-16,90,EXCELLENT,7.48,1.85,3.65,1.98,0.08,46,50.0,82.0,90.0,NONE,,15.8,72,8.0,
2025-10-15,90,EXCELLENT,7.58,1.72,4.13,1.73,0.27,45,48.0,86.0,91.0,NONE,,15.5,69,8.0,
2025-10-14,80,GOOD,6.78,1.6,4.15,1.03,0.18,46,49.0,93.0,91.0,NONE,,15.5,77,8.0,
2025-10-13,89,GOOD,7.78,1.57,5.0,1.22,0.03,45,49.0,94.0,90.0,NONE,,15.7,74,8.0,
2025-10-12,86,GOOD,8.1,1.68,5.27,1.15,0.35,46,49.0,93.0,89.0,NONE,,15.8,75,8.5,
2025-10-11,75,FAIR,6.73,1.83,4.25,0.65,0.43,50,54.0,90.0,89.0,NONE,,16.1,68,8.0,
2025-10-10,81,GOOD,7.43,1.83,4.85,0.75,0.12,46,50.0,93.0,89.0,NONE,,15.8,75,8.0,
2025-10-09,94,EXCELLENT,8.35,1.47,4.98,1.9,0.22,46,49.0,85.0,88.0,NONE,,15.8,44,8.0,
2025-10-08,85,GOOD,7.21,2.17,3.82,1.23,0.02,47,50.0,87.0,90.0,NONE,,16.3,70,8.0,
2025-10-07,80,GOOD,7.12,2.13,3.73,1.25,0.42,45,50.0,85.0,90.0,NONE,,16.0,73,8.0,
2025-10-06,90,EXCELLENT,7.7,1.62,4.72,1.37,0.02,47,50.0,93.0,89.0,NONE,,15.8,80,8.0,
2025-10-05,82,GOOD,7.3,1.68,4.32,1.3,0.02,48,51.0,87.0,89.0,NONE,,16.0,81,8.33,
2025-10-04,82,GOOD,6.66,1.93,3.28,1.45,0.1,48,51.0,92.0,89.0,NONE,,15.5,77,8.0,
2025-10-03,81,GOOD,6.69,1.55,3.42,1.73,0.22,44,46.0,89.0,89.0,NONE,,15.8,67,8.0,
2025-10-02,90,EXCELLENT,7.52,1.92,4.12,1.48,0.08,45,49.0,96.0,89.0,NONE,,16.0,69,8.0,
2025-10-01,83,GOOD,7.42,1.52,4.72,1.18,0.33,44,48.0,91.0,,NONE,,15.0,78,8.67,
2025-09-30,69,FAIR,6.17,1.03,4.57,0.57,0.22,47,56.0,77.0,,NONE,,16.6,54,8.0,
2025-09-29,95,EXCELLENT,8.31,1.75,4.67,1.9,0.08,46,49.0,92.0,,NONE,,15.8,61,8.0,
