date,activity_id,name,type,distance_km,duration_min,pace_min_km,avg_hr,max_hr,calories,elev_gain_m,avg_cadence,aerobic_te,anaerobic_te,training_load,vo2max
2026-09-01,18000000249,Intervals,running,9.53,41.2,4.32,172,187,648,57.0,174,3.1,2.0,59,53.0
2026-08-29,18000000248,Long Run,running,27.95,161.6,5.78,148,165,1901,335.0,177,3.0,0.0,235,52.9
2026-08-27,18000000247,Easy Run,running,8.28,47.0,5.68,140,149,563,48.0,175,3.5,0.0,87,52.9
2026-08-25,18000000246,Intervals,running,9.03,38.4,4.25,169,183,614,33.0,169,3.4,2.0,54,52.9
2026-08-24,18000000245,Strength,strength_training,,59.0,,106,152,354,,,2.2,1.2,61,
2026-08-23,18000000244,Easy Run,running,9.97,56.9,5.71,136,145,678,120.0,168,3.8,0.0,110,52.9
2026-08-22,18000000243,Long Run,running,27.87,158.0,5.67,149,165,1895,268.0,177,2.9,0.0,225,52.9
2026-08-21,18000000242,Strength,strength_training,,53.4,,125,141,320,,,1.7,0.5,53,
2026-08-20,18000000241,Easy Run,running,9.21,51.8,5.62,137,145,626,78.0,178,3.3,0.0,86,52.8
2026-08-18,18000000240,Intervals,running,11.33,50.4,4.45,164,182,770,63.0,179,4.1,1.6,92,52.8
2026-08-15,18000000239,Long Run,running,28.22,158.3,5.61,149,166,1919,214.0,171,3.9,0.0,279,52.8
2026-08-14,18000000238,Strength,strength_training,,60.1,,105,150,361,,,2.2,0.6,62,
2026-08-13,18000000237,Easy Run,running,8.51,46.7,5.49,139,153,579,39.0,174,3.7,0.0,84,52.8
2026-08-11,18000000236,Intervals,running,8.78,35.8,4.08,163,171,597,97.0,171,3.2,1.7,55,52.7
2026-08-08,18000000235,Long Run,running,27.78,163.1,5.87,148,166,1889,294.0,177,4.0,0.0,253,52.7
2026-08-07,18000000234,Strength,strength_training,,50.1,,106,150,301,,,1.7,0.5,51,
2026-08-06,18000000233,Easy Run,running,8.05,47.6,5.91,139,151,547,68.0,176,2.7,0.0,85,52.7
2026-08-04,18000000232,Intervals,running,8.11,36.1,4.45,166,178,551,56.0,175,2.9,1.7,61,52.7
2026-08-03,18000000231,Strength,strength_training,,53.9,,125,143,323,,,2.1,1.2,55,
2026-08-02,18000000230,Easy Run,running,9.34,54.0,5.78,150,162,635,78.0,178,3.1,0.0,81,52.7
2026-08-01,18000000229,Long Run,running,27.32,165.8,6.07,154,167,1858,341.0,168,3.0,0.0,241,52.6
2026-07-31,18000000228,Strength,strength_training,,44.7,,106,155,268,,,1.9,1.1,36,
2026-07-30,18000000227,Easy Run,running,8.56,49.9,5.83,144,156,582,94.0,175,3.1,0.0,95,52.6
2026-07-28,18000000226,Intervals,running,9.75,44.5,4.56,171,188,663,119.0,178,2.9,1.6,85,52.6
2026-07-25,18000000225,Long Run,running,26.9,162.7,6.05,148,160,1829,251.0,172,2.8,0.0,247,52.6
2026-07-24,18000000224,Strength,strength_training,,56.9,,117,148,341,,,1.7,1.2,64,
2026-07-23,18000000223,Easy Run,running,7.76,45.7,5.89,150,158,528,40.0,174,3.7,0.0,91,52.5
2026-07-21,18000000222,Intervals,running,11.59,51.1,4.41,166,177,788,157.0,180,3.6,0.7,79,52.5
2026-07-20,18000000221,Strength,strength_training,,42.6,,118,141,256,,,2.0,1.1,41,
2026-07-18,18000000220,Long Run,running,25.29,154.3,6.1,157,168,1720,196.0,171,3.6,0.0,204,52.5
2026-07-16,18000000219,Easy Run,running,9.72,55.7,5.73,141,155,661,115.0,171,2.7,0.0,96,52.5
2026-07-14,18000000218,Intervals,running,10.69,50.7,4.74,167,182,727,42.0,174,3.7,0.1,82,52.4
2026-07-13,18000000217,Strength,strength_training,,54.8,,105,158,329,,,2.2,0.6,50,
2026-07-11,18000000216,Long Run,running,25.04,153.0,6.11,151,161,1703,329.0,174,2.8,0.0,248,52.4
2026-07-10,18000000215,Strength,strength_training,,43.8,,114,149,263,,,2.2,1.1,44,
2026-07-09,18000000214,Easy Run,running,6.68,39.0,5.84,146,156,454,45.0,170,3.2,0.0,57,52.4
2026-07-07,18000000213,Intervals,running,11.05,53.2,4.81,166,181,751,43.0,170,3.1,0.2,101,52.4
2026-07-06,18000000212,Strength,strength_training,,55.9,,121,151,335,,,2.2,1.4,55,
2026-07-04,18000000211,Long Run,running,27.14,161.2,5.94,150,158,1846,196.0,172,3.1,0.0,273,52.3
2026-07-02,18000000210,Easy Run,running,6.4,38.0,5.93,139,155,435,61.0,172,3.4,0.0,54,52.3
2026-06-30,18000000209,Intervals,running,9.45,42.2,4.47,168,185,643,69.0,172,3.0,1.7,61,52.3
2026-06-29,18000000208,Strength,strength_training,,58.4,,113,160,350,,,1.7,1.3,52,
2026-06-28,18000000207,Easy Run,running,7.98,47.6,5.97,141,149,543,46.0,173,3.2,0.0,77,52.3
2026-06-27,18000000206,Long Run,running,25.85,158.2,6.12,155,171,1758,316.0,175,3.2,0.0,282,52.3
2026-06-25,18000000205,Easy Run,running,9.43,55.0,5.83,150,161,641,93.0,168,3.4,0.0,90,52.2
2026-06-22,18000000204,Strength,strength_training,,40.4,,116,154,242,,,1.5,1.3,47,
2026-06-18,18000000203,Easy Run,running,8.92,53.3,5.98,138,146,607,91.0,177,3.3,0.0,76,52.2
2026-06-16,18000000202,Intervals,running,10.3,49.3,4.79,173,184,700,118.0,179,3.2,0.9,73,52.1
2026-06-15,18000000201,Strength,strength_training,,59.4,,111,142,356,,,1.8,0.5,48,
2026-06-13,18000000200,Long Run,running,24.75,146.8,5.93,148,163,1683,273.0,178,3.8,0.0,222,52.1
2026-06-12,18000000199,Strength,strength_training,,53.1,,125,141,319,,,2.1,0.5,50,
2026-06-11,18000000198,Easy Run,running,6.22,36.8,5.92,137,154,423,84.0,175,3.4,0.0,64,52.1
2026-06-09,18000000197,Intervals,running,8.73,42.1,4.82,164,173,594,42.0,174,3.2,0.8,69,52.1
2026-06-06,18000000196,Long Run,running,24.2,146.4,6.05,152,164,1646,114.0,177,3.8,0.0,206,52.0
2026-06-05,18000000195,Strength,strength_training,,45.5,,116,152,273,,,2.4,0.7,39,
2026-06-04,18000000194,Easy Run,running,7.01,42.5,6.06,150,158,477,56.0,174,3.8,0.0,80,52.0
2026-06-01,18000000193,Strength,strength_training,,46.7,,114,160,280,,,2.2,1.0,44,
