date,steps,resting_hr,hrv_last_night,hrv_status,stress_avg,body_battery_high,body_battery_low,intensity_min_moderate,intensity_min_vigorous,active_calories,floors_climbed,training_status,vo2max,fitness_age,heat_acclimation_pct
2026-09-02,16363,43,74,BALANCED,23,90,20,16,0,449,23.3,PRODUCTIVE,53.0,22,
2026-09-01,18638,45,79,BALANCED,22,78,9,18,14,918,8.8,PRODUCTIVE,53.0,22,
2026-08-31,6051,56,,,30,92,31,9,0,813,5.2,MAINTAINING,53.0,22,
2026-08-30,10334,47,86,BALANCED,42,80,20,22,0,920,13.2,PRODUCTIVE,53.0,22,
2026-08-29,9339,45,84,BALANCED,47,84,9,0,32,891,10.4,PRODUCTIVE,52.9,22,
2026-08-28,13722,45,82,BALANCED,30,78,11,7,0,423,8.1,PRODUCTIVE,52.9,22,
2026-08-27,9212,44,80,BALANCED,43,90,25,3,5,855,19.0,PRODUCTIVE,52.9,22,
2026-08-26,13222,62,,,39,82,23,13,0,785,9.4,PRODUCTIVE,52.9,22,
2026-08-25,8957,46,74,BALANCED,43,78,9,15,4,472,3.8,PRODUCTIVE,52.9,22,
2026-08-24,17417,46,86,BALANCED,26,95,18,25,0,757,17.0,PRODUCTIVE,52.9,22,
2026-08-23,11733,43,79,BALANCED,24,98,30,22,35,995,11.5,PRODUCTIVE,52.9,22,
2026-08-22,10286,44,87,BALANCED,22,79,8,24,20,502,16.3,PRODUCTIVE,52.9,22,
2026-08-21,18397,45,76,BALANCED,27,89,11,7,0,1056,24.9,PRODUCTIVE,52.9,22,
2026-08-20,16420,48,77,BALANCED,29,88,23,3,50,914,6.2,MAINTAINING,52.8,22,
2026-08-19,15377,45,78,BALANCED,41,92,9,11,0,355,13.3,PRODUCTIVE,52.8,22,
2026-08-18,10969,57,,,22,83,27,14,11,471,6.0,PRODUCTIVE,52.8,22,
2026-08-17,18800,47,87,BALANCED,40,97,29,19,0,707,8.2,PRODUCTIVE,52.8,22,
2026-08-16,7748,43,83,BALANCED,30,83,24,10,0,646,17.4,PRODUCTIVE,52.8,22,
2026-08-15,9220,45,85,BALANCED,38,78,25,9,32,538,17.4,PRODUCTIVE,52.8,22,
2026-08-14,15248,46,89,BALANCED,47,83,29,10,0,882,21.2,PRODUCTIVE,52.8,22,
2026-08-13,16130,47,89,BALANCED,34,85,15,4,30,1029,21.8,PRODUCTIVE,52.8,22,
2026-08-12,17068,44,74,BALANCED,47,100,22,28,0,1034,8.1,PRODUCTIVE,52.8,22,
2026-08-11,7585,47,74,BALANCED,35,95,19,13,41,989,23.0,PRODUCTIVE,52.7,22,
2026-08-10,14852,44,80,BALANCED,32,82,18,14,0,1003,24.8,PRODUCTIVE,52.7,22,
2026-08-09,8531,45,80,BALANCED,32,94,18,12,0,469,6.1,MAINTAINING,52.7,22,
2026-08-08,15608,47,86,BALANCED,27,97,26,28,47,504,10.1,PRODUCTIVE,52.7,22,20
2026-08-07,10526,46,87,BALANCED,44,84,30,7,0,1022,10.6,PRODUCTIVE,52.7,22,20
2026-08-06,13264,58,,,26,86,8,18,27,621,23.0,PRODUCTIVE,52.7,22,20
2026-08-05,6162,47,77,BALANCED,25,90,24,10,0,972,6.3,PRODUCTIVE,52.7,22,20
2026-08-04,9632,44,85,BALANCED,22,99,11,25,13,333,16.6,PRODUCTIVE,52.7,22,20
2026-08-03,13118,62,,,27,99,14,7,0,378,15.5,PRODUCTIVE,52.7,22,20
2026-08-02,16172,47,86,BALANCED,24,82,21,26,25,1074,16.6,PRODUCTIVE,52.7,22,20
2026-08-01,8754,57,,,22,97,19,25,25,958,14.9,PRODUCTIVE,52.6,22,20
2026-07-31,14254,44,73,BALANCED,36,86,20,9,0,509,15.9,PRODUCTIVE,52.6,22,20
2026-07-30,7525,46,88,BALANCED,33,80,16,13,55,518,14.9,PRODUCTIVE,52.6,22,20
2026-07-29,12898,44,75,BALANCED,29,88,24,14,0,666,2.2,MAINTAINING,52.6,22,20
2026-07-28,18062,57,,,38,97,11,30,48,356,16.0,PRODUCTIVE,52.6,22,20
2026-07-27,12255,60,,,32,96,26,8,0,636,22.4,PRODUCTIVE,52.6,22,20
2026-07-26,11427,44,84,BALANCED,47,82,18,9,0,533,13.4,PRODUCTIVE,52.6,22,20
2026-07-25,8449,45,88,BALANCED,30,81,26,19,8,697,6.0,PRODUCTIVE,52.6,22,20
2026-07-24,17681,57,,,48,91,24,26,0,811,10.9,PRODUCTIVE,52.6,22,20
2026-07-23,14493,58,,,42,81,15,4,27,616,2.5,PRODUCTIVE,52.5,22,20
2026-07-22,14585,47,78,BALANCED,30,83,17,13,0,1089,7.0,PRODUCTIVE,52.5,22,20
2026-07-21,15520,45,75,BALANCED,41,88,25,16,5,462,13.8,PRODUCTIVE,52.5,22,20
2026-07-20,8452,46,77,BALANCED,22,87,20,21,0,820,10.7,PRODUCTIVE,52.5,22,20
2026-07-19,9654,62,,,30,96,11,12,0,1077,15.7,PRODUCTIVE,52.5,22,20
2026-07-18,10207,44,86,BALANCED,27,90,28,0,3,769,13.4,MAINTAINING,52.5,22,20
