date,score,level,feedback,sleep_score,hrv_factor,recovery_time_h,acute_load,stress_factor
2026-09-02,61,MODERATE,GOOD_SLEEP_HISTORY,96,BALANCED,1.1,373,GOOD
2026-09-01,65,MODERATE,GOOD_SLEEP_HISTORY,85,BALANCED,16.7,403,GOOD
2026-08-31,72,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,3.2,355,GOOD
2026-08-30,79,HIGH,WELL_RECOVERED,95,BALANCED,29.3,279,GOOD
2026-08-29,74,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,10.0,344,GOOD
2026-08-28,73,MODERATE,GOOD_SLEEP_HISTORY,82,BALANCED,3.5,367,GOOD
2026-08-27,82,HIGH,WELL_RECOVERED,98,BALANCED,14.9,225,GOOD
2026-08-26,68,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,26.7,299,GOOD
2026-08-25,70,MODERATE,GOOD_SLEEP_HISTORY,90,BALANCED,24.3,280,GOOD
2026-08-24,87,HIGH,WELL_RECOVERED,98,BALANCED,7.6,403,GOOD
2026-08-23,81,HIGH,WELL_RECOVERED,92,BALANCED,19.2,400,GOOD
2026-08-22,79,HIGH,WELL_RECOVERED,95,BALANCED,15.2,184,GOOD
2026-08-21,64,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,21.4,314,GOOD
2026-08-20,58,MODERATE,GOOD_SLEEP_HISTORY,89,BALANCED,3.6,413,GOOD
2026-08-19,71,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,0.7,234,GOOD
2026-08-18,56,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,9.9,311,GOOD
2026-08-17,72,MODERATE,GOOD_SLEEP_HISTORY,92,BALANCED,16.3,319,GOOD
2026-08-16,77,HIGH,WELL_RECOVERED,88,BALANCED,1.5,296,GOOD
2026-08-15,64,MODERATE,GOOD_SLEEP_HISTORY,92,BALANCED,16.2,227,GOOD
2026-08-14,74,MODERATE,GOOD_SLEEP_HISTORY,86,BALANCED,3.0,312,GOOD
2026-08-13,67,MODERATE,GOOD_SLEEP_HISTORY,92,BALANCED,5.0,185,GOOD
2026-08-12,56,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,6.8,368,GOOD
2026-08-11,76,HIGH,WELL_RECOVERED,98,BALANCED,6.2,271,GOOD
2026-08-10,80,HIGH,WELL_RECOVERED,87,BALANCED,22.5,268,GOOD
2026-08-09,62,MODERATE,GOOD_SLEEP_HISTORY,98,BALANCED,18.8,206,GOOD
2026-08-08,73,MODERATE,GOOD_SLEEP_HISTORY,93,BALANCED,1.8,259,GOOD
2026-08-07,84,HIGH,WELL_RECOVERED,94,BALANCED,7.3,280,GOOD
2026-08-06,76,HIGH,WELL_RECOVERED,,BALANCED,6.2,215,GOOD
2026-08-05,64,MODERATE,GOOD_SLEEP_HISTORY,95,BALANCED,29.0,386,GOOD
2026-08-04,76,HIGH,WELL_RECOVERED,96,BALANCED,12.7,348,GOOD
2026-08-03,60,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,6.4,193,GOOD
2026-08-02,86,HIGH,WELL_RECOVERED,91,BALANCED,11.0,316,GOOD
2026-08-01,63,MODERATE,GOOD_SLEEP_HISTORY,,BALANCED,19.9,310,GOOD
2026-07-31,56,MODERATE,GOOD_SLEEP_HISTORY,92,BALANCED,12.6,317,GOOD
2026-07-30,88,HIGH,WELL_RECOVERED,98,BALANCED,13.3,398,GOOD
