date,score,quality,total_h,deep_h,light_h,rem_h,awake_h,resting_hr,avg_hr,avg_hrv,hrv_7d_avg,hrv_status,avg_spo2,avg_respiration,body_battery_change,sleep_need_h,skin_temp_c
2026-09-02,96,EXCELLENT,6.05,1.38,2.99,1.51,0.17,43,46,74,74,BALANCED,,15.3,43,8.0,
2026-09-01,85,GOOD,6.83,1.42,3.68,1.56,0.17,45,49,79,81,BALANCED,,15.6,64,8.0,
2026-08-30,95,EXCELLENT,7.07,1.53,3.52,1.74,0.28,47,52,86,87,BALANCED,,13.6,73,8.0,
2026-08-29,98,EXCELLENT,7.01,1.27,3.66,1.79,0.29,45,49,84,81,BALANCED,,14.5,58,8.0,
2026-08-28,82,GOOD,6.27,1.48,3.25,1.32,0.22,45,48,82,85,BALANCED,,15.8,69,8.0,
2026-08-27,98,EXCELLENT,7.29,1.57,3.91,1.33,0.48,44,50,80,81,BALANCED,,15.3,70,8.0,
2026-08-25,90,EXCELLENT,6.95,1.28,3.8,1.6,0.27,46,49,74,73,BALANCED,,14.5,42,8.0,
2026-08-24,98,EXCELLENT,7.5,1.79,3.87,1.62,0.22,46,52,86,85,BALANCED,,15.9,44,8.0,
2026-08-23,92,EXCELLENT,6.71,1.31,3.35,1.71,0.34,43,50,79,82,BALANCED,,13.7,46,8.0,
2026-08-22,95,EXCELLENT,6.43,1.16,3.74,1.19,0.34,44,46,87,85,BALANCED,,14.2,79,8.0,
2026-08-21,98,EXCELLENT,8.44,1.95,4.54,1.68,0.27,45,47,76,77,BALANCED,,14.3,62,8.0,
2026-08-20,89,GOOD,7.83,1.54,4.04,1.96,0.29,48,52,77,74,BALANCED,,14.4,63,8.0,
2026-08-19,98,EXCELLENT,8.53,1.78,4.8,1.74,0.21,45,52,78,81,BALANCED,,14.7,80,8.0,
2026-08-17,92,EXCELLENT,6.43,1.27,3.61,1.35,0.2,47,54,87,84,BALANCED,,13.1,78,8.0,
2026-08-16,88,GOOD,7.45,1.25,4.49,1.57,0.14,43,47,83,81,BALANCED,,14.9,74,8.0,
2026-08-15,92,EXCELLENT,6.45,1.3,3.39,1.53,0.23,45,48,85,84,BALANCED,,15.3,76,8.0,
2026-08-14,86,GOOD,6.3,1.24,3.57,1.19,0.3,46,53,89,87,BALANCED,,13.3,66,8.0,
2026-08-13,92,EXCELLENT,7.87,1.43,4.52,1.75,0.17,47,52,89,89,BALANCED,,15.8,73,8.0,
2026-08-12,98,EXCELLENT,8.52,1.75,4.56,1.76,0.45,44,51,74,74,BALANCED,,15.5,76,8.0,
2026-08-11,98,EXCELLENT,8.39,1.73,4.49,2.04,0.13,47,51,74,76,BALANCED,,14.4,65,8.0,
2026-08-10,87,GOOD,6.35,1.08,3.83,1.22,0.22,44,50,80,82,BALANCED,,14.2,78,8.0,
2026-08-09,98,EXCELLENT,8.28,1.6,4.3,2.12,0.26,45,50,80,81,BALANCED,,14.4,71,8.0,
2026-08-08,93,EXCELLENT,7.81,1.78,3.64,1.95,0.44,47,50,86,86,BALANCED,,14.4,68,8.0,
2026-08-07,94,EXCELLENT,7.24,1.54,3.7,1.73,0.27,46,53,87,88,BALANCED,,13.5,51,8.0,
2026-08-05,95,EXCELLENT,7.91,1.53,4.34,1.55,0.49,47,52,77,77,BALANCED,,15.3,44,8.0,
2026-08-04,96,EXCELLENT,7.15,1.29,4.07,1.52,0.27,44,46,85,82,BALANCED,,15.1,46,8.0,
2026-08-02,91,EXCELLENT,8.36,2.0,3.92,1.96,0.48,47,52,86,85,BALANCED,,14.9,65,8.0,
2026-07-31,92,EXCELLENT,6.2,1.2,3.36,1.36,0.28,44,50,73,75,BALANCED,,15.8,56,8.0,
2026-07-30,98,EXCELLENT,8.76,1.84,4.54,2.09,0.29,46,52,88,87,BALANCED,,14.3,57,8.0,
2026-07-29,89,GOOD,7.74,1.61,4.04,1.62,0.47,44,48,75,72,BALANCED,,13.2,55,8.0,
2026-07-26,98,EXCELLENT,7.57,1.64,3.59,1.96,0.38,44,47,84,85,BALANCED,,14.4,46,8.0,
2026-07-25,98,EXCELLENT,8.01,1.82,4.08,1.81,0.3,45,48,88,90,BALANCED,,14.1,80,8.0,
2026-07-22,91,EXCELLENT,6.26,1.38,2.87,1.53,0.48,47,50,78,76,BALANCED,,14.1,58,8.0,
2026-07-21,93,EXCELLENT,8.59,1.97,4.12,2.15,0.35,45,48,75,72,BALANCED,,15.9,80,8.0,
2026-07-20,98,EXCELLENT,7.47,1.44,4.16,1.44,0.43,46,51,77,74,BALANCED,,14.0,65,8.0,
2026-07-18,98,EXCELLENT,6.89,1.28,3.92,1.24,0.45,44,50,86,85,BALANCED,,14.3,64,8.0,
2026-07-16,98,EXCELLENT,8.22,1.65,4.6,1.71,0.26,48,55,78,81,BALANCED,,15.0,70,8.0,
2026-07-14,98,EXCELLENT,7.86,1.32,4.66,1.52,0.36,47,51,83,82,BALANCED,,15.2,72,8.0,
2026-07-13,82,GOOD,6.52,1.07,3.46,1.58,0.41,48,52,77,74,BALANCED,,15.3,58,8.0,
2026-07-12,98,EXCELLENT,7.18,1.38,3.83,1.64,0.33,46,50,75,76,BALANCED,,13.1,66,8.0,
2026-07-11,98,EXCELLENT,8.66,1.62,4.74,1.98,0.32,44,50,76,77,BALANCED,,14.7,55,8.0,
2026-07-10,98,EXCELLENT,7.52,1.38,4.09,1.8,0.25,47,49,79,82,BALANCED,,14.9,49,8.0,
2026-07-09,97,EXCELLENT,7.96,1.34,4.17,1.96,0.49,44,50,78,76,BALANCED,,13.5,71,8.0,
2026-07-08,93,EXCELLENT,8.28,1.7,4.46,1.72,0.4,46,53,82,81,BALANCED,,15.3,70,8.0,
2026-07-07,98,EXCELLENT,8.96,1.91,5.11,1.65,0.29,45,52,75,77,BALANCED,,15.9,67,8.0,
2026-07-06,92,EXCELLENT,6.26,1.17,3.71,1.28,0.1,48,53,76,75,BALANCED,,15.1,51,8.0,
2026-07-05,98,EXCELLENT,8.51,1.78,4.64,1.6,0.49,47,54,74,71,BALANCED,,15.5,46,8.0,
2026-07-04,98,EXCELLENT,8.62,1.41,5.29,1.8,0.12,44,49,81,84,BALANCED,,13.7,55,8.0,
2026-07-03,98,EXCELLENT,7.29,1.54,3.86,1.76,0.13,46,49,75,72,BALANCED,,15.5,49,8.0,
2026-07-02,98,EXCELLENT,8.7,1.65,4.44,2.18,0.43,45,52,80,79,BALANCED,,15.5,46,8.0,
2026-07-01,98,EXCELLENT,7.03,1.21,3.89,1.77,0.16,45,52,84,87,BALANCED,,15.5,74,8.0,
2026-06-30,98,EXCELLENT,7.85,1.8,3.92,1.99,0.14,46,53,80,77,BALANCED,,14.9,56,8.0,
2026-06-29,98,EXCELLENT,7.27,1.21,4.01,1.86,0.19,44,50,73,70,BALANCED,,13.1,74,8.0,
2026-06-28,95,EXCELLENT,8.94,1.77,5.03,1.69,0.45,47,52,75,73,BALANCED,,13.9,44,8.0,
2026-06-27,98,EXCELLENT,7.53,1.21,4.71,1.4,0.21,46,51,73,72,BALANCED,,14.1,63,8.0,
2026-06-26,98,EXCELLENT,6.88,1.35,4.05,1.32,0.16,44,49,88,91,BALANCED,,13.5,60,8.0,
2026-06-24,88,GOOD,7.68,1.71,4.18,1.62,0.17,46,50,73,70,BALANCED,,13.7,42,8.0,
2026-06-23,90,EXCELLENT,6.63,1.13,3.62,1.57,0.31,48,54,75,74,BALANCED,,13.4,73,8.0,
2026-06-22,98,EXCELLENT,7.49,1.43,3.96,1.66,0.44,44,49,78,81,BALANCED,,14.6,53,8.0,
2026-06-21,79,FAIR,5.39,1.08,2.78,1.35,0.18,45,51,77,78,BALANCED,,15.9,77,8.0,
2026-06-19,96,EXCELLENT,7.46,1.24,4.31,1.69,0.22,46,51,83,83,BALANCED,,15.4,41,8.0,
2026-06-18,98,EXCELLENT,7.4,1.31,4.09,1.61,0.39,44,49,73,76,BALANCED,,15.6,71,8.0,
2026-06-17,97,EXCELLENT,8.17,1.36,4.76,1.74,0.31,44,47,73,72,BALANCED,,15.6,72,8.0,
2026-06-16,86,GOOD,6.59,1.58,3.22,1.39,0.4,45,48,79,81,BALANCED,,13.1,44,8.0,
2026-06-13,95,EXCELLENT,8.31,1.68,4.44,1.89,0.3,47,49,77,79,BALANCED,,15.8,54,8.0,
2026-06-12,96,EXCELLENT,7.78,1.33,4.74,1.56,0.15,43,49,76,77,BALANCED,,15.7,74,8.0,
2026-06-10,93,EXCELLENT,6.49,1.28,3.73,1.23,0.25,44,50,84,82,BALANCED,,13.1,51,8.0,
2026-06-09,91,EXCELLENT,7.21,1.48,3.98,1.37,0.38,48,53,83,82,BALANCED,,14.1,43,8.0,
2026-06-07,96,EXCELLENT,6.29,1.06,3.68,1.14,0.41,45,51,79,80,BALANCED,,13.2,50,8.0,
2026-06-06,91,EXCELLENT,7.2,1.44,3.6,1.8,0.36,48,50,76,79,BALANCED,,14.7,48,8.0,
2026-06-05,98,EXCELLENT,7.82,1.49,4.43,1.51,0.39,45,50,78,79,BALANCED,,15.7,65,8.0,
2026-06-03,85,GOOD,6.5,1.14,3.28,1.66,0.42,44,48,72,74,BALANCED,,15.7,46,8.0,
2026-06-02,98,EXCELLENT,7.66,1.7,4.22,1.54,0.2,44,47,78,76,BALANCED,,15.2,66,8.0,
2026-05-31,95,EXCELLENT,7.24,1.54,4.05,1.44,0.21,46,48,75,75,BALANCED,,13.8,64,8.0,
2026-05-30,98,EXCELLENT,7.92,1.31,4.19,2.04,0.38,47,53,85,88,BALANCED,,15.0,62,8.0,
2026-05-29,95,EXCELLENT,8.04,1.8,3.73,2.02,0.49,44,51,76,79,BALANCED,,14.0,64,8.0,
2026-05-28,98,EXCELLENT,7.63,1.72,3.88,1.58,0.45,48,51,77,78,BALANCED,,14.6,57,8.0,
2026-05-27,98,EXCELLENT,7.51,1.79,3.89,1.44,0.39,46,50,81,82,BALANCED,,14.6,75,8.0,
2026-05-24,94,EXCELLENT,7.84,1.86,3.87,1.87,0.24,47,50,85,87,BALANCED,,13.6,76,8.0,
2026-05-23,98,EXCELLENT,8.06,1.9,4.17,1.66,0.33,45,50,73,75,BALANCED,,13.6,55,8.0,
2026-05-21,86,GOOD,7.4,1.26,4.43,1.56,0.15,47,54,77,77,BALANCED,,15.4,80,8.0,
2026-05-19,94,EXCELLENT,7.73,1.41,4.23,1.94,0.15,47,49,80,78,BALANCED,,14.8,73,8.0,
2026-05-18,96,EXCELLENT,7.14,1.57,3.66,1.57,0.34,47,54,75,72,BALANCED,,13.3,53,8.0,
2026-05-17,89,GOOD,7.79,1.68,4.21,1.46,0.44,45,51,87,86,BALANCED,,15.8,67,8.0,
2026-05-14,96,EXCELLENT,7.6,1.65,3.87,1.66,0.42,48,53,72,72,BALANCED,,15.3,55,8.0,
2026-05-13,91,EXCELLENT,7.47,1.76,3.84,1.62,0.25,47,51,75,74,BALANCED,,14.0,41,8.0,
2026-05-12,95,EXCELLENT,8.32,1.85,4.3,1.84,0.33,47,51,79,81,BALANCED,,15.5,62,8.0,
2026-05-11,93,EXCELLENT,8.54,1.6,4.81,1.73,0.4,48,52,78,77,BALANCED,,15.9,56,8.0,
2026-05-09,98,EXCELLENT,7.71,1.48,4.39,1.7,0.14,46,50,79,81,BALANCED,,14.5,70,8.0,
2026-05-08,98,EXCELLENT,7.92,1.69,4.12,1.62,0.49,48,52,72,69,BALANCED,,15.1,50,8.0,
2026-05-07,98,EXCELLENT,7.07,1.47,4.0,1.31,0.29,48,50,76,74,BALANCED,,15.5,79,8.0,
2026-05-06,97,EXCELLENT,6.69,1.5,3.27,1.56,0.36,45,50,85,82,BALANCED,,14.0,50,8.0,
2026-05-05,98,EXCELLENT,8.3,1.74,4.29,1.82,0.45,44,47,73,72,BALANCED,,13.8,77,8.0,
2026-05-04,86,GOOD,6.62,1.14,3.44,1.59,0.45,46,50,74,75,BALANCED,,13.6,57,8.0,
2026-05-02,98,EXCELLENT,8.83,1.75,4.78,1.86,0.44,44,50,81,83,BALANCED,,15.3,73,8.0,
2026-05-01,98,EXCELLENT,6.95,1.5,3.74,1.43,0.28,47,49,78,79,BALANCED,,15.0,51,8.0,
2026-04-30,95,EXCELLENT,6.6,1.45,3.31,1.7,0.14,47,54,84,81,BALANCED,,13.6,44,8.0,
